Artikel,Antal,Enhet
Margarin,125,g
Vetemjöl,3,dl
Sojafärs,500,g
Vitlök,3,klyftor
"Gul ök",1,st
Tacosås,1,burk
Tacokrydda,1,påse
"Havre fraiche",3,dl
Öst,2.5,dl
Körsbärstomater,250,g
