Artikel,Antal,Enhet
Färskpotatis,1,kg
Gröna ärtor,500,g 
Majonäs,1,dl
Havredryck,3,dl
Salt,1,tsk
Mannagryn,1.5,dl
Citronsaft,2,msk
Pankoströbröd,3,dl
