Artikel,Antal,Enhet
"Gul lök",1,st
Vitlök,2,klyftor
Morötter,4,st
Rosmarin,1,msk
Grönsaksbuljong,1,msk
Grönkål,100,g
"Vita bönor",1,paket
Citronjuice,1,msk
Havregrädde,2,dl
Matvete,0.5,paket
