Artikel,Antal,Enhet
Ingefära,2,cm
Vitlök,2,klyftor
Sesamolja,2,tsk
Olja,4,msk
Soja,2,msk
Tofu,200,g
Broccoli,200,g
Morötter,2,st
Paprika,1,st
Jordnötter,1,dl
Nudlar,250,g
