Artikel,Antal,Enhet
Potatis,1,kg
Chiafrön,1,msk
Svarta bönor,6,dl
Majsstärkelse,1,dl
Gul lök,1,st
Pesto,1,dl
Turkish,2,dl
Jäst,10,g
Vetemjöl,7,dl
Grahamsmjöl,2,dl
Olja,2,msk
Soltorkad tomat,4,st
