Artikel,Antal,Enhet
"Gul lök",1,st
Vitlök,1,klyftor
Oregano,1,tsk
Timjan,1,tsk
Socker,1,tsk
Tomatpuré,2,msk
"Krossade tomater",1,paket
Havregrädde,2.5,dl
Gnocchi,200,g
Kikärtor,0.5,paket
