Artikel,Antal,Enhet
Havregrädde,4,dl
Ketchup,4,msk
Tomatpuré,2,msk
Sambal oelek,2,tsk
Kikärtor,10,dl
Banan,2,st
Blomkål,600,g
Rökt paprikapulver,2,tsk
Havreris,8,p
Jordnötter,2,dl
