Artikel,Antal,Enhet
Pasta,500,g
"Torkad svamp",3,dl
"Gul lök",1,st
Vitlök,2,klyftor
Timjan,2,tsk
Svampfond,1,msk
Soja,0.5,msk
Havregrädde,3,dl
Citronsaft,2,droppar
Persilja,1,msk
Kikärtor,1,paket
