Artikel,Antal,Enhet
Gul lök,2,st
Vitlök,4,klyftor
Curry,3,tsk
Paprikapulver,2,tsk
Krossade tomater,3,pkt
Grönsaksbuljong,2,st
Vinäger,2,tsk
Jordnötter,3,dl
Sambal oelek,1,tsk
Svarta bönor,3,pkt
Havreris,8,p
