Artikel,Antal,Enhet
"Formbar färs",1,paket
"Gul lök",1,st
Potatis,1,kg
Rapsolja,1,msk
Havregrädde,3,dl
Soja,2,tsk
Vetemjöl,1,msk
Lingon,1,dl
Socker,2,msk
