Artikel,Antal,Enhet
"Gul lök",2,st
Linser,3,dl
"Krossade tomater",2,paket
Morötter,3,st
Grönsaksbuljong,2,msk
Tomatpuré,2,msk
Vitlök,2,klyftor
Oregano,2,msk
"Havre fraiche",5,dl
Öst,2,dl
Lasagneplattor,500,g
