Artikel,Antal,Enhet
"Gul lök",2,st
Vitlök,2,klyftor
Morötter,3,st
Potatis,250,g
"Grillad paprika",2,st
"Krossade tomater",1,paket
Grönsaksbuljong,1,msk
Lagerblad,2,st
Citron,1,st
"Fryst persilja",2,msk
Kikärtor,1.5,paket
Matvete,0.5,paket
"Havre fraiche",2.5,dl
