Artikel,Antal,Enhet
Vitlök,2,klyftor
Havregrädde,2.5,dl
Fryst spenat,225,g
Grönsaksbuljong,1,st
Pasta,500,g
Soltorkade tomater,8,st
Rökt paprikapulver,1,tsk
Soja,2,tsk
Solroskärnor,1,dl
