Artikel,Antal,Enhet
Gul lök,2,st
Vitlök,4,klyftor
Ingefära,2,msk
Grönsaksbuljong,2,tärningar
Garam masala,2,msk
Sambal oelek,1,krm
Tomatpuré,4,msk
Paprikapulver,2,tsk
Kokosmjölk,400,g
Krossade tomater,400,g
Kikärtor,10,dl
Lime,2,msk
Havreris,8,p
