Artikel,Antal,Enhet
Risnudlar,1,paket
Tofu,400,g
Böngroddar,2,dl
Vitkål,2,dl
Vitlök,2,klyftor
Limejuice,2,msk
"Sweet chili-sås",0.5,dl
Sojasås,2,msk
Jordnötter,1,dl
