Artikel,Antal,Enhet
Oumph,1,paket
"Gul lök",1,st
Vitlök,2,klyftor
Tomatpuré,2,msk
Jordnötssmör,3,msk
Soja,0.5,msk
Cayennepeppar,1,krm
Jordnötter,1,dl
Ris,3,dl
